graph_type,metric,sampler,frac,theta_mean,mean_sampled_mean,bias_rel_mean,var_rel_mean,nd_mean,theta_std,mean_sampled_std,bias_rel_std,var_rel_std,nd_std
BA,assortativity,degree_weighted,0.05,-0.08354633740363289,-0.23598387610073118,-1.967261403781683,2.063929972206309,2.8618022565664964,0.021119735667912407,0.021336380063780278,0.7341388792791632,0.8045149197696018,1.0541439213008637
BA,assortativity,degree_weighted,0.1,-0.08354633740363289,-0.15923668235382335,-0.944844222757791,0.9200733598620945,1.3335164100965984,0.021119735667912407,0.03458309564145173,0.3368067212611629,0.20615940783568554,0.32739874761226306
BA,assortativity,degree_weighted,0.2,-0.08354633740363289,-0.11461053565485842,-0.3667258250605108,0.43189082288960545,0.5833153158976254,0.021119735667912407,0.03336861942136092,0.16328616588338768,0.11742493464101451,0.12807002819405738
BA,assortativity,degree_weighted,0.3,-0.08354633740363289,-0.09960792011999064,-0.18944336027657474,0.2766852672557253,0.35485632747689533,0.021119735667912407,0.028153255283483614,0.1358572272979915,0.07379454952681275,0.08398488046988965
BA,assortativity,edge_uniform,0.05,-0.08354633740363289,0.08692839753376976,2.117356242910847,1.6070226308025135,2.6603906825039996,0.021119735667912407,0.018968993120204804,0.47244218058416687,0.43618674847954236,0.6312774811704172
BA,assortativity,edge_uniform,0.1,-0.08354633740363289,0.006273158864772546,1.1267445487247199,0.8100730902721587,1.3907686535784243,0.021119735667912407,0.02204047718478305,0.29138347092464584,0.29004322281835154,0.39805426839875385
BA,assortativity,edge_uniform,0.2,-0.08354633740363289,-0.03621994534718029,0.606768963516522,0.4007347557589952,0.7336425340993709,0.021119735667912407,0.028986467585153206,0.27135379589785635,0.09133609471742127,0.2648246672742022
BA,assortativity,edge_uniform,0.3,-0.08354633740363289,-0.05569038437101868,0.3619517513609845,0.26308842560461143,0.4530411350036056,0.021119735667912407,0.026885510940961203,0.1937192088688833,0.06924181457516285,0.18985378785857723
BA,assortativity,random_node,0.05,-0.08354633740363289,-0.3412904265487076,-3.313991932707598,3.1966145000277284,4.618731835590378,0.021119735667912407,0.052781645833921045,1.2997029730612992,0.8865045997992906,1.5199907901292722
BA,assortativity,random_node,0.1,-0.08354633740363289,-0.16423296317475714,-1.0677153449964565,2.0606877339343157,2.3468284796424017,0.021119735667912407,0.020240151836933586,0.5757185189716173,0.5227405692913947,0.6732511553680692
BA,assortativity,random_node,0.2,-0.08354633740363289,-0.13378821778098,-0.6616127176479184,0.862924149331031,1.0952408564501273,0.021119735667912407,0.013226860366052692,0.31401206538463927,0.22326097686968466,0.35632880674751455
BA,assortativity,random_node,0.3,-0.08354633740363289,-0.12074327140311791,-0.4854922481546938,0.5431637725103504,0.7328201436265935,0.021119735667912407,0.015460727380240924,0.20458897883536312,0.15008987997333548,0.23772658072384034
BA,assortativity,snowball,0.05,-0.08354633740363289,-0.4226084866466736,-4.3687875531310265,1.5824662609190987,4.651301611243506,0.021119735667912407,0.01619386906744314,1.575373357156707,0.5379390177254999,1.648044732997242
BA,assortativity,snowball,0.1,-0.08354633740363289,-0.3663571456934781,-3.636117033668269,0.8876064845094433,3.7435607657696353,0.021119735667912407,0.011752103829253898,1.2878172521462852,0.36297476894143393,1.3356292117935302
BA,assortativity,snowball,0.2,-0.08354633740363289,-0.29969551603669603,-2.7552117444043525,0.627358498309588,2.82591476298249,0.021119735667912407,0.011396813679686375,0.838578688651577,0.20616776918388321,0.8628091381870295
BA,assortativity,snowball,0.3,-0.08354633740363289,-0.25657621266015324,-2.181257479891786,0.4522838045164715,2.228016980122816,0.021119735667912407,0.023156892862951174,0.551374932967708,0.12033875445302114,0.5625630583753737
BA,avg_path,degree_weighted,0.05,3.3903973717146436,2.8060026393621467,-0.17228767530199793,0.14782504713628952,0.2287597706735672,0.038521060384262396,0.09928465208239948,0.030417890353042126,0.0206639926439754,0.018909450666459025
BA,avg_path,degree_weighted,0.1,3.3903973717146436,3.4322943557320267,0.01227292298698483,0.09908486971333393,0.10213629467389942,0.038521060384262396,0.10967981127575459,0.026480841035420342,0.01287007391208536,0.01695996575010537
BA,avg_path,degree_weighted,0.2,3.3903973717146436,3.4963864932667166,0.03116003796851834,0.0427039004197521,0.05328427563140949,0.038521060384262396,0.07915144983678629,0.012199546953358183,0.007525321658785628,0.012233385531195504
