metric,sampler,frac,theta1_mean,theta2_mean,p_misrank_mean,n_valid_mean,p_misrank_std
assortativity,degree_weighted,0.05,-0.08236352186992385,-0.011335745548477643,0.21227760664894696,133.8,0.04307287377446479
assortativity,degree_weighted,0.1,-0.08236352186992385,-0.011335745548477643,0.009333333333333334,150.0,0.010110500592068734
assortativity,degree_weighted,0.2,-0.08236352186992385,-0.011335745548477643,0.0,150.0,0.0
assortativity,degree_weighted,0.3,-0.08236352186992385,-0.011335745548477643,0.0,150.0,0.0
assortativity,edge_uniform,0.05,-0.08236352186992385,-0.011335745548477643,0.01347747747747748,148.8,0.008275695486449044
assortativity,edge_uniform,0.1,-0.08236352186992385,-0.011335745548477643,0.0,150.0,0.0
assortativity,edge_uniform,0.2,-0.08236352186992385,-0.011335745548477643,0.0,150.0,0.0
assortativity,edge_uniform,0.3,-0.08236352186992385,-0.011335745548477643,0.0,150.0,0.0
assortativity,random_node,0.05,-0.08236352186992385,-0.011335745548477643,0.2010042530568846,96.6,0.02346859742441192
assortativity,random_node,0.1,-0.08236352186992385,-0.011335745548477643,0.029531047826349844,149.2,0.014048595635716574
assortativity,random_node,0.2,-0.08236352186992385,-0.011335745548477643,0.0,150.0,0.0
assortativity,random_node,0.3,-0.08236352186992385,-0.011335745548477643,0.0,150.0,0.0
assortativity,snowball,0.05,-0.08236352186992385,-0.011335745548477643,0.05733333333333333,150.0,0.024312776705080624
assortativity,snowball,0.1,-0.08236352186992385,-0.011335745548477643,0.0,150.0,0.0
assortativity,snowball,0.2,-0.08236352186992385,-0.011335745548477643,0.0,150.0,0.0
assortativity,snowball,0.3,-0.08236352186992385,-0.011335745548477643,0.0,150.0,0.0
avg_path,degree_weighted,0.05,3.4211207759699627,4.247971214017522,0.9826666666666666,150.0,0.016733200530681485
avg_path,degree_weighted,0.1,3.4211207759699627,4.247971214017522,0.9506666666666665,150.0,0.022410315085295486
avg_path,degree_weighted,0.2,3.4211207759699627,4.247971214017522,0.05466666666666666,150.0,0.02764858847110363
avg_path,degree_weighted,0.3,3.4211207759699627,4.247971214017522,0.0,150.0,0.0
avg_path,edge_uniform,0.05,3.4211207759699627,4.247971214017522,0.984,150.0,0.012995725793078611
avg_path,edge_uniform,0.1,3.4211207759699627,4.247971214017522,0.748,150.0,0.11139519239576225
avg_path,edge_uniform,0.2,3.4211207759699627,4.247971214017522,0.0,150.0,0.0
avg_path,edge_uniform,0.3,3.4211207759699627,4.247971214017522,0.0,150.0,0.0
avg_path,random_node,0.05,3.4211207759699627,4.247971214017522,0.6346434488179454,149.0,0.0637701237053216
avg_path,random_node,0.1,3.4211207759699627,4.247971214017522,0.6133333333333333,150.0,0.012472191289246471
avg_path,random_node,0.2,3.4211207759699627,4.247971214017522,0.3453333333333334,150.0,0.07794585014967481
avg_path,random_node,0.3,3.4211207759699627,4.247971214017522,0.002666666666666667,150.0,0.00596284793999944
avg_path,snowball,0.05,3.4211207759699627,4.247971214017522,0.8906666666666666,150.0,0.030767948691238237
avg_path,snowball,0.1,3.4211207759699627,4.247971214017522,0.08533333333333334,150.0,0.03279566366999692
avg_path,snowball,0.2,3.4211207759699627,4.247971214017522,0.0,150.0,0.0
avg_path,snowball,0.3,3.4211207759699627,4.247971214017522,0.0,150.0,0.0
clustering,degree_weighted,0.05,0.020250508797225248,0.479489974694202,0.5546666666666666,150.0,0.05684286332611254
clustering,degree_weighted,0.1,0.020250508797225248,0.479489974694202,0.013333333333333332,150.0,0.00816496580927726
clustering,degree_weighted,0.2,0.020250508797225248,0.479489974694202,0.0,150.0,0.0
clustering,degree_weighted,0.3,0.020250508797225248,0.479489974694202,0.0,150.0,0.0
clustering,edge_uniform,0.05,0.020250508797225248,0.479489974694202,0.084,150.0,0.013824294235551817
clustering,edge_uniform,0.1,0.020250508797225248,0.479489974694202,0.0,150.0,0.0
clustering,edge_uniform,0.2,0.020250508797225248,0.479489974694202,0.0,150.0,0.0
clustering,edge_uniform,0.3,0.020250508797225248,0.479489974694202,0.0,150.0,0.0
clustering,random_node,0.05,0.020250508797225248,0.479489974694202,0.5453333333333333,150.0,0.03444802848737017
clustering,random_node,0.1,0.020250508797225248,0.479489974694202,0.017333333333333333,150.0,0.008944271909999158
clustering,random_node,0.2,0.020250508797225248,0.479489974694202,0.0,150.0,0.0
clustering,random_node,0.3,0.020250508797225248,0.479489974694202,0.0,150.0,0.0
clustering,snowball,0.05,0.020250508797225248,0.479489974694202,0.0,150.0,0.0
clustering,snowball,0.1,0.020250508797225248,0.479489974694202,0.0,150.0,0.0
clustering,snowball,0.2,0.020250508797225248,0.479489974694202,0.0,150.0,0.0
clustering,snowball,0.3,0.020250508797225248,0.479489974694202,0.0,150.0,0.0
modularity,degree_weighted,0.05,0.3899683061445568,0.65996170625,0.036,150.0,0.026076809620810593
modularity,degree_weighted,0.1,0.3899683061445568,0.65996170625,0.0,150.0,0.0
modularity,degree_weighted,0.2,0.3899683061445568,0.65996170625,0.0,150.0,0.0
modularity,degree_weighted,0.3,0.3899683061445568,0.65996170625,0.0,150.0,0.0
modularity,edge_uniform,0.05,0.3899683061445568,0.65996170625,0.02,150.0,0.0047140452079103175
modularity,edge_uniform,0.1,0.3899683061445568,0.65996170625,0.0,150.0,0.0
modularity,edge_uniform,0.2,0.3899683061445568,0.65996170625,0.0,150.0,0.0
modularity,edge_uniform,0.3,0.3899683061445568,0.65996170625,0.0,150.0,0.0
modularity,random_node,0.05,0.3899683061445568,0.65996170625,0.1196986641814228,148.6,0.0190710113190332
