metric,sampler,frac,theta1,theta2,sign,p_misrank,n_valid,pair_id,seed1,seed2
assortativity,edge_uniform,0.1,-0.08859735749129188,-0.016103565489397464,-1.0,0.0,150.0,0,200,301
avg_path,edge_uniform,0.1,3.3919712140175218,4.240294117647059,-1.0,0.7933333333333333,150.0,0,200,301
modularity,edge_uniform,0.1,0.38655326217215297,0.64886496875,-1.0,0.0,150.0,0,200,301
clustering,edge_uniform,0.2,0.020954598370197905,0.47748415246562936,-1.0,0.0,150.0,0,200,301
assortativity,edge_uniform,0.2,-0.08859735749129188,-0.016103565489397464,-1.0,0.0,150.0,0,200,301
avg_path,edge_uniform,0.2,3.3919712140175218,4.240294117647059,-1.0,0.0,150.0,0,200,301
modularity,edge_uniform,0.2,0.38655326217215297,0.64886496875,-1.0,0.0,150.0,0,200,301
clustering,edge_uniform,0.3,0.020954598370197905,0.47748415246562936,-1.0,0.0,150.0,0,200,301
assortativity,edge_uniform,0.3,-0.08859735749129188,-0.016103565489397464,-1.0,0.0,150.0,0,200,301
avg_path,edge_uniform,0.3,3.3919712140175218,4.240294117647059,-1.0,0.0,150.0,0,200,301
modularity,edge_uniform,0.3,0.38655326217215297,0.64886496875,-1.0,0.0,150.0,0,200,301
clustering,random_node,0.05,0.02360714822045352,0.47077734729206167,-1.0,0.5733333333333334,150.0,1,202,303
assortativity,random_node,0.05,-0.0832056393053956,-0.005032152625836076,-1.0,0.2222222222222222,90.0,1,202,303
avg_path,random_node,0.05,3.3696401752190237,4.200516270337922,-1.0,0.66,150.0,1,202,303
modularity,random_node,0.05,0.3950076973790429,0.6551569374999999,-1.0,0.1,150.0,1,202,303
clustering,random_node,0.1,0.02360714822045352,0.47077734729206167,-1.0,0.02666666666666667,150.0,1,202,303
assortativity,random_node,0.1,-0.0832056393053956,-0.005032152625836076,-1.0,0.013422818791946308,149.0,1,202,303
avg_path,random_node,0.1,3.3696401752190237,4.200516270337922,-1.0,0.6266666666666667,150.0,1,202,303
modularity,random_node,0.1,0.3950076973790429,0.6551569374999999,-1.0,0.06,150.0,1,202,303
clustering,random_node,0.2,0.02360714822045352,0.47077734729206167,-1.0,0.0,150.0,1,202,303
assortativity,random_node,0.2,-0.0832056393053956,-0.005032152625836076,-1.0,0.0,150.0,1,202,303
avg_path,random_node,0.2,3.3696401752190237,4.200516270337922,-1.0,0.2866666666666667,150.0,1,202,303
modularity,random_node,0.2,0.3950076973790429,0.6551569374999999,-1.0,0.006666666666666667,150.0,1,202,303
clustering,random_node,0.3,0.02360714822045352,0.47077734729206167,-1.0,0.0,150.0,1,202,303
assortativity,random_node,0.3,-0.0832056393053956,-0.005032152625836076,-1.0,0.0,150.0,1,202,303
avg_path,random_node,0.3,3.3696401752190237,4.200516270337922,-1.0,0.0,150.0,1,202,303
modularity,random_node,0.3,0.3950076973790429,0.6551569374999999,-1.0,0.0,150.0,1,202,303
clustering,snowball,0.05,0.02360714822045352,0.47077734729206167,-1.0,0.0,150.0,1,202,303
assortativity,snowball,0.05,-0.0832056393053956,-0.005032152625836076,-1.0,0.07333333333333333,150.0,1,202,303
avg_path,snowball,0.05,3.3696401752190237,4.200516270337922,-1.0,0.86,150.0,1,202,303
modularity,snowball,0.05,0.3950076973790429,0.6551569374999999,-1.0,0.0,150.0,1,202,303
clustering,snowball,0.1,0.02360714822045352,0.47077734729206167,-1.0,0.0,150.0,1,202,303
