metric,sampler,frac,theta,mean_sampled,bias_rel,var_rel,nd,graph_id,graph_seed
clustering,random_node,0.05,0.020667777492950526,0.006999999999999999,-0.6612765316000029,2.5963678419387493,2.6792559828987237,0,100
assortativity,random_node,0.05,-0.07871928916884834,-0.39297780244415953,-3.9920904330172537,3.496106296163377,5.3065568176983735,0,100
avg_path,random_node,0.05,3.38258760951189,1.5413470418470419,-0.5443288499486021,0.12428964654142247,0.5583384395899672,0,100
modularity,random_node,0.05,0.38664352117876866,0.5686760456489758,0.4708007342642332,0.4843057373145438,0.6754297732403607,0,100
clustering,random_node,0.1,0.020667777492950526,0.011777238831461525,-0.4301434211346697,1.7568734500231051,1.8087641311518552,0,100
assortativity,random_node,0.1,-0.07871928916884834,-0.16160985263736638,-1.0529758508727631,1.9121884424784008,2.182939023900849,0,100
avg_path,random_node,0.1,3.38258760951189,2.509529337596777,-0.2581035924558074,0.19757670999025614,0.32504464427085594,0,100
modularity,random_node,0.1,0.38664352117876866,0.7939855738208107,1.053531164492316,0.20229451930805242,1.0727772308818877,0,100
clustering,random_node,0.2,0.020667777492950526,0.018232673466333487,-0.1178155808899475,0.8613288778145586,0.8693491512952218,0,100
assortativity,random_node,0.2,-0.07871928916884834,-0.13430597686497936,-0.706129109573039,0.905882694820865,1.1485825073377731,0,100
avg_path,random_node,0.2,3.38258760951189,4.920718128994295,0.45471994884543726,0.3191758779691839,0.5555569034359995,0,100
modularity,random_node,0.2,0.38664352117876866,0.7939864827249911,1.0535335152412095,0.14401062710229826,1.0633305828644717,0,100
clustering,random_node,0.3,0.020667777492950526,0.01957006049961945,-0.053109913912686546,0.5594525310553025,0.561967790411512,0,100
assortativity,random_node,0.3,-0.07871928916884834,-0.11321726752286049,-0.4382349038380298,0.44622575442275153,0.6254336534374217,0,100
avg_path,random_node,0.3,3.38258760951189,5.169322029830497,0.52821511173256,0.2631270921328392,0.5901246231745668,0,100
modularity,random_node,0.3,0.38664352117876866,0.7246084095379824,0.874097187072134,0.1274427649542608,0.8833388652078003,0,100
