metric,sampler,frac,theta_mean,mean_sampled_mean,bias_rel_mean,var_rel_mean,nd_mean,theta_std,mean_sampled_std,bias_rel_std,var_rel_std,nd_std
assortativity,degree_weighted,0.05,-0.07750917871152027,-0.2308364039391999,-2.0446004606973434,2.2422954792967538,3.05420160299427,0.015379684775723998,0.030504835310738807,0.5621329194119136,0.7244408129040709,0.8312482759499518
assortativity,degree_weighted,0.1,-0.07750917871152027,-0.15015541423550366,-0.9556908281883596,1.077533605326431,1.4439875546560756,0.015379684775723998,0.023272430817481714,0.16919300780689148,0.2857911570293306,0.31137971022334926
assortativity,degree_weighted,0.2,-0.07750917871152027,-0.10885019701343182,-0.4089646516792552,0.5001117437553384,0.667277727701343,0.015379684775723998,0.02666407419872749,0.20206957521040597,0.11561848671474381,0.13903270674381474
assortativity,degree_weighted,0.3,-0.07750917871152027,-0.08920452954528837,-0.15021340720206428,0.3147870994205986,0.37074285810720464,0.015379684775723998,0.02268896656267472,0.14353751279666238,0.09348801412626731,0.0979741032077371
assortativity,edge_uniform,0.05,-0.07750917871152027,0.09587126284657324,2.3115126743299967,1.6380879435374058,2.8356525869002533,0.015379684775723998,0.023598571429369712,0.4906070889400608,0.3464068546643788,0.5852902917549648
assortativity,edge_uniform,0.1,-0.07750917871152027,0.023303533681226625,1.3456186038689932,0.8996952368628218,1.625616676933625,0.015379684775723998,0.029396078014799643,0.374225283683704,0.2579822563720146,0.42247912970350104
assortativity,edge_uniform,0.2,-0.07750917871152027,-0.02392500304855488,0.7238877198323017,0.46077363700573243,0.8669008410445723,0.015379684775723998,0.027708064440292807,0.2663765417218367,0.11733445840787167,0.2563878335826303
assortativity,edge_uniform,0.3,-0.07750917871152027,-0.04199669215512873,0.48564869271160427,0.32063493167470275,0.5906822344042494,0.015379684775723998,0.025626700518919385,0.2025515548967482,0.08638765802588688,0.1889043341944715
assortativity,random_node,0.05,-0.07750917871152027,-0.3314112852466411,-3.4039332925367027,3.5248755238230394,4.921187105446324,0.015379684775723998,0.03835059619266285,0.9266096425999888,0.6074352796286163,0.9845641361998406
assortativity,random_node,0.1,-0.07750917871152027,-0.15842546182667022,-1.1164432309698284,1.9503476582998693,2.261317181747927,0.015379684775723998,0.0071341317037668436,0.4784643331507795,0.2832577838961492,0.4796829055921844
assortativity,random_node,0.2,-0.07750917871152027,-0.12231507991380615,-0.5930281696275865,0.9948739419922547,1.1685424493534955,0.015379684775723998,0.021546077803683998,0.23583456734420402,0.22174352186456658,0.27339445084129527
assortativity,random_node,0.3,-0.07750917871152027,-0.10504959812034217,-0.36543485954285415,0.5815484700398611,0.694002126952377,0.015379684775723998,0.01646483703395135,0.1084281376275992,0.15107094137353272,0.14902004750152573
assortativity,snowball,0.05,-0.07750917871152027,-0.423682780971374,-4.635684570834129,1.70256263839098,4.940209580904277,0.015379684775723998,0.005123074926960437,1.0848185761717632,0.27726552366006907,1.1099472316907149
assortativity,snowball,0.1,-0.07750917871152027,-0.3696134680051854,-3.9068234410773073,0.9569185360786664,4.023002071300396,0.015379684775723998,0.01258991972336205,0.9146810256482037,0.22080363431232178,0.9372388420514121
assortativity,snowball,0.2,-0.07750917871152027,-0.2990789961467008,-2.9475264501362526,0.5945999794574041,3.007249057816961,0.015379684775723998,0.014886641031780277,0.5680878580847464,0.07936119306212429,0.5713274289501303
assortativity,snowball,0.3,-0.07750917871152027,-0.2536473963097191,-2.3481316591629677,0.4724120212531733,2.3953994666810265,0.015379684775723998,0.012763908321428362,0.4825329411548163,0.07420143002138158,0.48686742911390213
avg_path,degree_weighted,0.05,3.412968085106383,2.776437260823066,-0.18632899078689463,0.13422907282655194,0.23009220440832698,0.033102789932752195,0.10269989583609158,0.03460552602687739,0.024734637248123397,0.03938575312168154
avg_path,degree_weighted,0.1,3.412968085106383,3.442094151585848,0.008455229506687511,0.10514958384490018,0.10647320907545196,0.033102789932752195,0.08537844563945464,0.01802017114793924,0.015526476012709243,0.017464967019756687
avg_path,degree_weighted,0.2,3.412968085106383,3.537534470364853,0.03643127948060067,0.0456280541957952,0.058825843812326015,0.033102789932752195,0.0683292819376038,0.011229347799780581,0.0044854297862610346,0.00905893343312392
avg_path,degree_weighted,0.3,3.412968085106383,3.505797358582408,0.027145012424163402,0.023867189415055813,0.03631064654103193,0.033102789932752195,0.05939899977936029,0.008026104720569447,0.0027637650329055143,0.007556187958265584
avg_path,edge_uniform,0.05,3.412968085106383,3.581042027187609,0.04930395450979198,0.17482824256089918,0.18348631002990853,0.033102789932752195,0.1035793561957821,0.03125658296593484,0.031831370648549226,0.033925220480158134
avg_path,edge_uniform,0.1,3.412968085106383,3.7985529701414142,0.11282467715280833,0.10616418106386645,0.15527445062438525,0.033102789932752195,0.1442764831523171,0.035005164273985,0.017483997959291876,0.03733174700043441
avg_path,edge_uniform,0.2,3.412968085106383,3.610894283791782,0.05792459355096694,0.0427570140343365,0.07206941190748115,0.033102789932752195,0.06603965132239363,0.009444958131852667,0.004138363668733658,0.009649305989338084
avg_path,edge_uniform,0.3,3.412968085106383,3.5123893651937323,0.02908100646888484,0.025360959437842223,0.03869606663732891,0.033102789932752195,0.05680337077905997,0.007047307841768631,0.0023365563317521536,0.006670538049614547
